XはYの（Location word）です,X is (location word) of Y,null,grammar,4,null,null
じゃありませんでした,Past tense of です (conservative negative),null,grammar,4,null,null
たくさん,Expression of a large quantity,null,grammar,4,null,null
でした／じゃなかったです,Past tense of です,null,grammar,4,null,null
ではありませんでした,Past tense of です (more likely to be seen in writing),null,grammar,4,null,null
と,Connect two nouns / together with,null,grammar,4,null,null
ました／ませんでした,Past tense of verbs,null,grammar,4,null,null
も,Two or more people performing the same activity / One person does the same activity to different things,null,grammar,4,null,null
一時間 （～じかん）,Duration of an activity (In this case、 for one hour),null,grammar,4,null,null
とき,when . . . / at the time of . . .,時,noun,4,null,(～の)
～じかん,. . . Hours,～時間,noun,4,null,null
あさって,The day after tomorrow,null,noun,4,null,null
あした,Tomorrow,明日,noun,4,null,null
あなた,You,null,noun,4,null,null
アルバイト,Part-time job,null,noun,4,null,null
いす,Chair,null,noun,4,null,null
いぬ,Dog,犬,noun,4,null,null
おてら,Temple,お寺,noun,4,null,null
おみやげ,Souvenir,お土産,noun,4,null,null
かいもの,Shopping,買い物,noun,4,null,null
きょう,Today,今日,noun,4,null,null
きょねん,Last year,去年,noun,4,null,null
クラス,Class,null,noun,4,null,null
こうえん,Park,公園,noun,4,null,null
ことし,This year,今年,noun,4,null,null
こども,Child,子供,noun,4,null,null
ごはん,Rice / Meal,ご飯,noun,4,null,null
こんしゅう,This week,今週,noun,4,null,null
しゃしん,Picture / Photograph,写真,noun,4,null,null
スーパー,Supermarket,null,noun,4,null,null
せんげつ,Last month,先月,noun,4,null,null
せんしゅう,Last week,先週,noun,4,null,null
つくえ,Desk,机,noun,4,null,null
てがみ,Letter,手紙,noun,4,null,null
デパート,Department store,null,noun,4,null,null
ねこ,Cat,猫,noun,4,null,null
バスてい,Bus stop,バス停,noun,4,null,null
パン,Bread,null,noun,4,null,null
ひと,Person,人,noun,4,null,null
びょういん,Hospital,病院,noun,4,null,null
ホテル,Hotel,null,noun,4,null,null
ほんや,Bookstore,本屋,noun,4,null,null
まいにち,Every day,毎日,noun,4,null,null
まち,Town; city,町,noun,4,null,null
メール,E-mail,null,noun,4,null,null
らいげつ,Next month,来月,noun,4,null,null
らいしゅう,Next week,来週,noun,4,null,null
らいねん,Next Year,来年,noun,4,null,null
レストラン,Restaurant,null,noun,4,null,null
うえ,On,上,other,4,null,(～の)
うしろ,Back (of) / Behind (of),後ろ,other,4,null,(～の)
ちかく,Near / Nearby,近く,other,4,null,(～の)
そば,Near / Nearby,null,other,4,null,(～の)
となり,Next (similar items),隣,other,4,null,(～の)
まえ,Front,前,other,4,null,(～の)
よこ,Next (item type doesn't matter),null,other,4,null,(～の)
（A)(と)(B)(の）,. . . Is between (A) and (B),間,other,4,null,null
～ぐらい,About (approximate measurements),null,other,4,null,null
～と,Together with (a person),null,other,4,null,null
ごめんなさい,I'm sorry,null,other,4,null,null
だから,So / Therefore,null,other,4,null,null
たくさん,Many / A lot,null,other,4,null,null
どうして,Why,null,other,4,null,null
いる,(a person) is in/stays at a (place),null,ru-verb,4,null,(Place)(に)(Thing)(が)
わかる,To understand,null,u-verb,4,null,(～が)
かう,To buy,買う,u-verb,4,null,(～を)
